Date;Dated Brent;Propane;Gasoline;Jet;Gasoil;FO 1%;ULSD;Naphtha;Butane;FO 3.5%;VGO 0.5%;FO 0.5%;VGO 2%;
01.11.2005;55.2;-14.52840144;;16.19937034;;-8.677174888;;-1.921739812;-15.72082687;-16.75179105;-4.322064717;;-7.813005365;
01.12.2005;56.9;-10.43077579;;14.65862755;;-8.630826744;;-1.415143341;-13.65566366;-18.66898477;-7.178522037;;-9.670172706;
01.01.2006;63;-14.60034776;;15.30612235;;-11.99419026;;-0.68165588;-16.81434363;-19.77692471;-4.579640387;;-8.142898072;
01.02.2006;60.1;-17.68068912;;16.95724094;;-7.423495176;;-1.688409344;-18.89447142;-14.94457867;-1.261162858;;-6.178721435;
01.03.2006;62.1;-23.40696129;;16.50053512;;-11.8228286;;-3.383412487;-24.65479078;-16.76070056;0.871347864;;-0.593858208;
01.04.2006;70.3;-30.30899628;;15.95592864;;-18.39348596;;-4.539463571;-32.23147083;-21.21668613;-0.713796138;;-4.778013668;
01.05.2006;69.8;-29.12669215;;18.80238052;;-17.89931805;;-2.864125598;-31.16952351;-20.15439114;2.102154733;;-5.387375017;
01.06.2006;68.7;-26.39112141;;19.8742679;;-18.21790458;;-0.279065376;-27.50167883;-22.61637198;4.660790162;;-2.380259618;
01.07.2006;73.7;-30.17008111;;17.41630536;;-20.92851446;;-2.04532311;-29.66294011;-25.06708147;-0.619077441;;-7.533963731;
01.08.2006;73.1;-29.74492765;;20.27100721;;-19.99042646;;-4.097668424;-28.54306186;-25.28920672;-2.03720328;;-5.269460452;
01.09.2006;61.7;-21.75586643;;19.08647625;;-17.46676103;;-3.517034271;-19.56695641;-19.91489166;-0.977462843;;-4.259278896;
01.10.2006;57.8;-20.77952445;;17.58833613;;-15.45453136;;-1.287315199;-17.24496191;-17.7792961;-1.683098325;;-6.475745654;
01.11.2006;58.9;-20.63659127;;16.33328455;;-16.8591693;;-1.655898726;-19.85350591;-19.078961;-6.399909209;;-7.589853196;
01.12.2006;62.3;-21.93783235;;17.21806527;;-20.74153431;;-1.549920547;-23.30263825;-23.31382107;-3.283687342;;-5.838889348;
01.01.2007;53.7;-15.80029195;;18.20466638;;-15.88475906;;2.777355274;-17.77843366;-19.0972654;-0.059713436;;-1.329977928;
